,Name,user_id,product_id,rating,times_stamps,offers
20,Divij Brar,A3J3BRHTDRFJ2G,B001U3Y8NG,4.0,1261267200,"""Save $10 when you spend $50 or more."""
21,Divij Brar,A3J3BRHTDRFJ2G,B002EEAITS,1.0,1313884800,"""Upgrade your phone and get a free case and screen protector."""
22,Divij Brar,A3J3BRHTDRFJ2G,B003E2QADM,2.0,1331164800,"""Valentine's Day special: Buy a dozen roses, get a free box of chocolates."""
23,Divij Brar,A3J3BRHTDRFJ2G,B003HFCDLY,4.0,1301788800,"""Refer a friend and get 20% off your next purchase when they make their first order."""
24,Divij Brar,A3J3BRHTDRFJ2G,B004S7Q8CA,2.0,1352851200,"""BOGO 50% off on all dresses."""
25,Divij Brar,A3J3BRHTDRFJ2G,B004YX6W2E,3.0,1358726400,"""Buy one pair of shoes, get a second pair free."""
26,Divij Brar,A3J3BRHTDRFJ2G,B005KG44V0,5.0,1397433600,"""Buy a laptop, mouse, and bag together and save 15%."""
27,Divij Brar,A3J3BRHTDRFJ2G,B0097I53RG,4.0,1397433600,"""Tag a friend and both of you get a 15% discount code."""
28,Krish Ghosh,A2TY0BTJOTENPG,0511189877,5.0,1395878400,"""Save $10 when you spend $50 or more."""
29,Krish Ghosh,A2TY0BTJOTENPG,B000068CNM,5.0,1394323200,"""Save $10 when you spend $50 or more."""
30,Krish Ghosh,A2TY0BTJOTENPG,B0062CBCGG,5.0,1389225600,"""Save $10 when you spend $50 or more."""
31,Krish Ghosh,A2TY0BTJOTENPG,B00EAXISZW,5.0,1391385600,"""Buy one pair of shoes, get a second pair free."""
32,Kiara Chauhan,A34ATBPOK6HCHY,0511189877,5.0,1395532800,"""Save $10 when you spend $50 or more."""
33,Kiara Chauhan,A34ATBPOK6HCHY,B0029631VI,2.0,1395273600,"""Limited stock remaining: Clearance items must go!"""
34,Kiara Chauhan,A34ATBPOK6HCHY,B0091Q1DIC,1.0,1395273600,"""Enjoy free shipping on orders over $25."""
35,Rohan Bath,A89DO69P0XZ27,0511189877,5.0,1395446400,"""Save $10 when you spend $50 or more."""
36,Elakshi Joshi,AZYNQZ94U6VDB,0511189877,5.0,1401321600,"""Save $10 when you spend $50 or more."""
37,Elakshi Joshi,AZYNQZ94U6VDB,B0000A1VS3,1.0,1401321600,"""Birthday month exclusive: 10% off for all August birthdays."""
38,Elakshi Joshi,AZYNQZ94U6VDB,B0032GQ16Q,5.0,1401321600,"""Enjoy free shipping on orders over $25."""
39,Elakshi Joshi,AZYNQZ94U6VDB,B003M0NURK,5.0,1402531200,"""Give $10, get $10 when you refer a friend."""
40,Elakshi Joshi,AZYNQZ94U6VDB,B00D2DDE0U,1.0,1401321600,"""Back-to-school sale: Save on backpacks, notebooks, and more."""
41,Taran Lad,A1DA3W4GTFXP6O,0528881469,5.0,1405641600,"""Take $20 off your next purchase."""
42,Drishya Bahl,A29LPQQDG7LD5J,0528881469,1.0,1352073600,"""Take $20 off your next purchase."""
43,Jhanvi Jayaraman,AO94DHGC771SJ,0528881469,5.0,1370131200,"""Take $20 off your next purchase."""
44,Jhanvi Jayaraman,AO94DHGC771SJ,B0013G8PTS,5.0,1366156800,"""Limited stock remaining: Clearance items must go!"""
45,Jhanvi Jayaraman,AO94DHGC771SJ,B001TQSFXS,5.0,1375920000,"""Refer a friend and get 20% off your next purchase when they make their first order."""
46,Jhanvi Jayaraman,AO94DHGC771SJ,B003ZBZ64Q,5.0,1366156800,"""First-time buyers: Take $5 off your initial purchase."""
47,Jhanvi Jayaraman,AO94DHGC771SJ,B004RBKN46,5.0,1375920000,"""Give $10, get $10 when you refer a friend."""
48,Jhanvi Jayaraman,AO94DHGC771SJ,B006950XW0,5.0,1355356800,"""Limited stock remaining: Clearance items must go!"""
49,Jhanvi Jayaraman,AO94DHGC771SJ,B0075SUHKI,5.0,1375920000,"""BOGO 50% off on all dresses."""
50,Jhanvi Jayaraman,AO94DHGC771SJ,B0096TK6MI,4.0,1353456000,"""Valentine's Day special: Buy a dozen roses, get a free box of chocolates."""
51,Jhanvi Jayaraman,AO94DHGC771SJ,B00DUKJ5CQ,5.0,1379980800,"""Valentine's Day special: Buy a dozen roses, get a free box of chocolates."""
52,Yuvaan Mann,AMO214LNFCEI4,0528881469,1.0,1290643200,"""Take $20 off your next purchase."""
53,Yuvaan Mann,AMO214LNFCEI4,B000I2XGF6,5.0,1167955200,"""Limited stock remaining: Clearance items must go!"""
54,Yuvaan Mann,AMO214LNFCEI4,B000KDWT24,4.0,1215561600,"""Take $20 off your next purchase."""
55,Yuvaan Mann,AMO214LNFCEI4,B000N23XGS,5.0,1219708800,"""Buy one pair of shoes, get a second pair free."""
56,Yuvaan Mann,AMO214LNFCEI4,B001MSVPM6,5.0,1384387200,"""Happy Birthday! Enjoy 25% off your purchase on your special day."""
57,Yuvaan Mann,AMO214LNFCEI4,B003S6CO9I,1.0,1313107200,"""Take $20 off your next purchase."""
58,Yuvaan Mann,AMO214LNFCEI4,B007B31IAK,3.0,1384387200,"""Enjoy free shipping on orders over $25."""
59,Yuvaan Mann,AMO214LNFCEI4,B00A21KC9Q,2.0,1361577600,"""Last chance to grab items at clearance prices. Up to 70% off!"""
60,Yuvaan Mann,AMO214LNFCEI4,B00DSTUVHW,3.0,1384387200,"""Upgrade your phone and get a free case and screen protector."""
61,Saanvi Bhatia,A28B1G1MSJ6OO1,0528881469,4.0,1280016000,"""Take $20 off your next purchase."""
62,Saanvi Bhatia,A28B1G1MSJ6OO1,B0000A0AJH,1.0,1091318400,"""Birthday month exclusive: 10% off for all August birthdays."""
63,Farhan Dugar,A3N7T0DY83Y4IG,0528881469,3.0,1283990400,"""Take $20 off your next purchase."""
64,Farhan Dugar,A3N7T0DY83Y4IG,B000652M6Y,5.0,1322179200,"""Give $10, get $10 when you refer a friend."""
65,Farhan Dugar,A3N7T0DY83Y4IG,B000BKN2Y0,4.0,1163894400,"""Refer a friend and get 20% off your next purchase when they make their first order."""
66,Farhan Dugar,A3N7T0DY83Y4IG,B0029LB5D4,5.0,1359763200,"""Take $20 off your next purchase."""
67,Farhan Dugar,A3N7T0DY83Y4IG,B002QUZM0U,5.0,1296345600,"""Join our mailing list for exclusive offers and a one-time 15% discount."""
68,Farhan Dugar,A3N7T0DY83Y4IG,B002Y27P6O,5.0,1273276800,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
69,Farhan Dugar,A3N7T0DY83Y4IG,B0036UU40C,3.0,1273276800,"""Get 20% off on all orders this weekend!"""
70,Farhan Dugar,A3N7T0DY83Y4IG,B003NREDC8,5.0,1296432000,"""Birthday month exclusive: 10% off for all August birthdays."""
71,Farhan Dugar,A3N7T0DY83Y4IG,B003Y73P44,4.0,1296345600,"""BOGO 50% off on all dresses."""
72,Farhan Dugar,A3N7T0DY83Y4IG,B004AX6Z3Y,5.0,1273276800,"""Birthday month exclusive: 10% off for all August birthdays."""
73,Farhan Dugar,A3N7T0DY83Y4IG,B005GJC01C,4.0,1362268800,"""Refer a friend and get 20% off your next purchase when they make their first order."""
74,Farhan Dugar,A3N7T0DY83Y4IG,B0082BMYCQ,5.0,1376697600,"""Limited stock remaining: Clearance items must go!"""
75,Farhan Dugar,A3N7T0DY83Y4IG,B00GA562HO,3.0,1396656000,"""Birthday month exclusive: 10% off for all August birthdays."""
76,Farhan Dugar,A3N7T0DY83Y4IG,B00GTGETFG,5.0,1404345600,"""Limited stock remaining: Clearance items must go!"""
77,Anay Sane,A1H8PY3QHMQQA0,0528881469,2.0,1290556800,"""Take $20 off your next purchase."""
78,Anay Sane,A1H8PY3QHMQQA0,B00005AXHW,4.0,1385856000,"""First-time buyers: Take $5 off your initial purchase."""
79,Anay Sane,A1H8PY3QHMQQA0,B000068O3C,5.0,1329782400,"""Enter our Instagram giveaway for a chance to win a $100 gift card."""
80,Anay Sane,A1H8PY3QHMQQA0,B00009UT9B,5.0,1361059200,"""Upgrade your phone and get a free case and screen protector."""
81,Anay Sane,A1H8PY3QHMQQA0,B001FOM1T8,4.0,1329782400,"""Limited-time offer: 50% off until midnight!"""
82,Anay Sane,A1H8PY3QHMQQA0,B002EL4RIY,4.0,1283126400,"""Welcome to our store! New customers get 15% off their first order."""
83,Anay Sane,A1H8PY3QHMQQA0,B0030MITDK,5.0,1285372800,"""BOGO 50% off on all dresses."""
84,Anay Sane,A1H8PY3QHMQQA0,B0036QYUQA,5.0,1328486400,"""Buy one pair of shoes, get a second pair free."""
85,Anay Sane,A1H8PY3QHMQQA0,B003L11FUY,5.0,1385856000,"""Last chance to grab items at clearance prices. Up to 70% off!"""
86,Anay Sane,A1H8PY3QHMQQA0,B003Y0631I,5.0,1394841600,"""Tag a friend and both of you get a 15% discount code."""
87,Anay Sane,A1H8PY3QHMQQA0,B004X8NCXM,5.0,1334448000,"""Limited-time offer: 50% off until midnight!"""
88,Anay Sane,A1H8PY3QHMQQA0,B004X8PCVC,5.0,1328486400,"""Join our mailing list for exclusive offers and a one-time 15% discount."""
89,Anay Sane,A1H8PY3QHMQQA0,B0051WAM64,5.0,1329609600,"""Buy a laptop, mouse, and bag together and save 15%."""
90,Anay Sane,A1H8PY3QHMQQA0,B005GQ8JR4,3.0,1385856000,"""Join our mailing list for exclusive offers and a one-time 15% discount."""
91,Anay Sane,A1H8PY3QHMQQA0,B005MHN6K2,4.0,1361059200,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
92,Anay Sane,A1H8PY3QHMQQA0,B005OM2AD4,4.0,1328486400,"""Refer a friend and get 20% off your next purchase when they make their first order."""
93,Anay Sane,A1H8PY3QHMQQA0,B005SE07YW,5.0,1376092800,"""Enter our Instagram giveaway for a chance to win a $100 gift card."""
94,Anay Sane,A1H8PY3QHMQQA0,B005ZM9XGU,4.0,1376092800,"""Hurry! 24-hour flash sale: Up to 40% off select items."""
95,Anay Sane,A1H8PY3QHMQQA0,B006VJREFS,4.0,1341100800,"""Welcome to our store! New customers get 15% off their first order."""
96,Anay Sane,A1H8PY3QHMQQA0,B007PE3FC4,5.0,1385856000,"""BOGO 50% off on all dresses."""
97,Anay Sane,A1H8PY3QHMQQA0,B007RFW1NA,4.0,1385856000,"""Join our mailing list for exclusive offers and a one-time 15% discount."""
98,Anay Sane,A1H8PY3QHMQQA0,B00852PGT0,5.0,1385856000,"""Buy one pair of shoes, get a second pair free."""
99,Anay Sane,A1H8PY3QHMQQA0,B008DVMRXG,5.0,1394841600,"""Buy one, get one 50% off."""
100,Anay Sane,A1H8PY3QHMQQA0,B0090C7A2A,4.0,1370822400,"""Free express shipping for a limited time."""
101,Anay Sane,A1H8PY3QHMQQA0,B009W34X5O,5.0,1385856000,"""Free express shipping for a limited time."""
102,Anay Sane,A1H8PY3QHMQQA0,B00BNIO4H8,5.0,1385856000,"""First-time buyers: Take $5 off your initial purchase."""
103,Anay Sane,A1H8PY3QHMQQA0,B00GDE2WFI,4.0,1385856000,"""Save $10 when you spend $50 or more."""
104,Lakshay Srinivas,A2CPBQ5W4OGBX,0528881469,2.0,1277078400,"""Take $20 off your next purchase."""
105,Lakshay Srinivas,A2CPBQ5W4OGBX,B00ACB89JQ,3.0,1362182400,"""Welcome to our store! New customers get 15% off their first order."""
106,Rania Setty,A265MKAR2WEH3Y,0528881469,4.0,1294790400,"""Take $20 off your next purchase."""
107,Rania Setty,A265MKAR2WEH3Y,B004SGQLNC,2.0,1347494400,"""Welcome to our store! New customers get 15% off their first order."""
108,Armaan Rama,A37K02NKUIT68K,0528881469,5.0,1293235200,"""Take $20 off your next purchase."""
109,Armaan Rama,A37K02NKUIT68K,B001PBYQHG,5.0,1401408000,"""Limited stock remaining: Clearance items must go!"""
110,Armaan Rama,A37K02NKUIT68K,B0048NBPQS,4.0,1320192000,"""Limited-time offer: 50% off until midnight!"""
111,Rohan Vasa,A2AW1SSVUIYV9Y,0528881469,4.0,1289001600,"""Take $20 off your next purchase."""
112,Rasha Chana,A2AEHUKOV014BP,0528881469,5.0,1284249600,"""Take $20 off your next purchase."""
113,Mahika Bala,AMLFNXUIEMN4T,0528881469,1.0,1307836800,"""Take $20 off your next purchase."""
114,Samarth Singh,A2O8FIJR9EBU56,0528881469,4.0,1278547200,"""Take $20 off your next purchase."""
115,Riya Gaba,A3IQGFB959IR4P,0528881469,1.0,1327363200,"""Take $20 off your next purchase."""
116,Oorja Sankar,AYTBGUX49LF3W,0528881469,4.0,1398470400,"""Take $20 off your next purchase."""
117,Onkar Dyal,A24QFSUU00IZ05,0528881469,2.0,1293580800,"""Take $20 off your next purchase."""
118,Advika Ray,A1NG5X8VYZWX0Q,0528881469,1.0,1286582400,"""Take $20 off your next purchase."""
119,Kimaya Malhotra,A1E4WG8HRWWK4R,0528881469,5.0,1390867200,"""Take $20 off your next purchase."""
120,Kimaya Malhotra,A1E4WG8HRWWK4R,B001CGM1ZI,1.0,1267833600,"""Happy Birthday! Enjoy 25% off your purchase on your special day."""
121,Kimaya Malhotra,A1E4WG8HRWWK4R,B006ZOI9OY,5.0,1390867200,"""Limited-time offer: 50% off until midnight!"""
122,Vihaan Virk,A2AOEW5UGXFOOQ,0528881469,5.0,1294790400,"""Take $20 off your next purchase."""
123,Anahita Mall,A2XSWV6AQI90BR,0528881469,1.0,1299974400,"""Take $20 off your next purchase."""
124,Anahita Mall,A2XSWV6AQI90BR,B00005ML7Q,5.0,1332806400,"""Hurry! 24-hour flash sale: Up to 40% off select items."""
125,Renee Sani,AR84FMFYCQCWF,0528881469,1.0,1296691200,"""Take $20 off your next purchase."""
126,Anay Varty,A19TBA1WARJS55,0528881469,2.0,1340496000,"""Take $20 off your next purchase."""
127,Aarna Sibal,A3C5SMBSKKWNPT,0528881469,5.0,1285113600,"""Take $20 off your next purchase."""
128,Amani Kaul,A24EV6RXELQZ63,0528881469,1.0,1317254400,"""Take $20 off your next purchase."""
129,Amani Kaul,A24EV6RXELQZ63,B001212ELY,5.0,1328572800,"""Subscribe to our newsletter and receive 10% off your first order."""
130,Amani Kaul,A24EV6RXELQZ63,B0023ZK2TY,1.0,1379980800,"""Join our mailing list for exclusive offers and a one-time 15% discount."""
131,Amani Kaul,A24EV6RXELQZ63,B0030KPV0G,4.0,1363219200,"""Limited-time offer: 50% off until midnight!"""
132,Amani Kaul,A24EV6RXELQZ63,B0032UWTK4,5.0,1328572800,"""BOGO 50% off on all dresses."""
133,Amani Kaul,A24EV6RXELQZ63,B003O8167G,5.0,1363219200,"""Valentine's Day special: Buy a dozen roses, get a free box of chocolates."""
134,Hazel Venkatesh,A3T6ZQONABIJSG,0528881469,1.0,1358035200,"""Take $20 off your next purchase."""
135,Hazel Venkatesh,A3T6ZQONABIJSG,B006ZOI9OY,4.0,1358035200,"""Limited-time offer: 50% off until midnight!"""
136,Aradhya Sundaram,A132P6YSJSI5G2,0528881469,2.0,1298851200,"""Take $20 off your next purchase."""
137,Hansh Bhattacharyya,A1NQPG5IJ43HJI,0558835155,3.0,1372550400,"""Enjoy free shipping on orders over $25."""
138,Hansh Bhattacharyya,A1NQPG5IJ43HJI,B0072YREEM,5.0,1359504000,"""Hurry! 24-hour flash sale: Up to 40% off select items."""
139,Hansh Bhattacharyya,A1NQPG5IJ43HJI,B007WTAJTO,5.0,1384387200,"""Give $10, get $10 when you refer a friend."""
140,Hansh Bhattacharyya,A1NQPG5IJ43HJI,B009MAKWC0,5.0,1398384000,"""Birthday month exclusive: 10% off for all August birthdays."""
141,Hansh Bhattacharyya,A1NQPG5IJ43HJI,B00B54F16I,1.0,1398384000,"""Happy Birthday! Enjoy 25% off your purchase on your special day."""
142,Hansh Bhattacharyya,A1NQPG5IJ43HJI,B00EQ32E24,5.0,1384387200,"""Happy Birthday! Enjoy 25% off your purchase on your special day."""
143,Samar Tata,A2WOJCFAWI8VS8,059400232X,5.0,1379376000,"""Free express shipping for a limited time."""
144,Samar Tata,A2WOJCFAWI8VS8,B001L6EPCQ,5.0,1401148800,"""Limited stock remaining: Clearance items must go!"""
145,Mamooty Sami,A22FB2WSZSXSHH,059400232X,5.0,1348790400,"""Free express shipping for a limited time."""
146,Veer Kumer,AZQZ3STMCBG5H,059400232X,5.0,1395705600,"""Free express shipping for a limited time."""
147,Anika Chadha,A2EGPA22UHMQXL,0594012015,1.0,1405296000,"""Buy one pair of shoes, get a second pair free."""
148,Fateh Hayre,AC57CU3TF6ZMJ,0594012015,5.0,1404172800,"""Buy one pair of shoes, get a second pair free."""
149,Pranay Solanki,A2YX0Z6RHA8Y2H,0594012015,1.0,1384300800,"""Buy one pair of shoes, get a second pair free."""
150,Hansh Ramesh,A38T51B7J6QVD9,0594012015,1.0,1377129600,"""Buy one pair of shoes, get a second pair free."""
151,Aarush Kara,A1HOSS7PNC1LMU,0594012015,1.0,1374537600,"""Buy one pair of shoes, get a second pair free."""
152,Aarush Kara,A1HOSS7PNC1LMU,B004HO1EF0,5.0,1374537600,"""Hurry! 24-hour flash sale: Up to 40% off select items."""
153,Aarush Kara,A1HOSS7PNC1LMU,B00A8WVJFA,4.0,1374537600,"""Buy a laptop, mouse, and bag together and save 15%."""
154,Gokul Shere,A9HI77BE35VYE,0594012015,1.0,1373932800,"""Buy one pair of shoes, get a second pair free."""
155,Shalv Bains,A3HFUWKSPF5QEH,0594012015,5.0,1374278400,"""Buy one pair of shoes, get a second pair free."""
156,Tejas De,A38ETMHM9ATSF0,0594012015,1.0,1374105600,"""Buy one pair of shoes, get a second pair free."""
157,Rhea Chand,A34O6MND17VDDH,0594017343,1.0,1323216000,"""BOGO 50% off on all dresses."""
158,Rhea Chand,A34O6MND17VDDH,140053271X,1.0,1323216000,"""Enjoy free shipping on orders over $25."""
159,Jhanvi Chaudry,A3JSAGWSLY5044,0594017580,3.0,1404432000,"""Buy a laptop, mouse, and bag together and save 15%."""
160,Jhanvi Chaudry,A3JSAGWSLY5044,1400532736,5.0,1404432000,"""Free express shipping for a limited time."""
161,Dharmajan Basak,A3B12X05JZKM94,0594033896,5.0,1405382400,"""Upgrade your phone and get a free case and screen protector."""
162,Mannat Lalla,AKZOMZCNU41GZ,0594033896,4.0,1388620800,"""Upgrade your phone and get a free case and screen protector."""
163,Mannat Lalla,AKZOMZCNU41GZ,B004Y8MCXC,4.0,1391040000,"""Valentine's Day special: Buy a dozen roses, get a free box of chocolates."""
164,Mannat Lalla,AKZOMZCNU41GZ,B00H1L2TIW,5.0,1388620800,"""Valentine's Day special: Buy a dozen roses, get a free box of chocolates."""
165,Hazel Thaker,A2XTFY0GJDF3R2,0594033896,4.0,1300233600,"""Upgrade your phone and get a free case and screen protector."""
166,Hazel Thaker,A2XTFY0GJDF3R2,B005B28DOM,1.0,1366416000,"""BOGO 50% off on all dresses."""
167,Anay Halder,A3ILG56NE5QU37,0594033896,5.0,1399420800,"""Upgrade your phone and get a free case and screen protector."""
168,Anay Halder,A3ILG56NE5QU37,B007DLN4AW,5.0,1399420800,"""Back-to-school sale: Save on backpacks, notebooks, and more."""
169,Eshani Bala,AOK77THMKCGXZ,0594033896,4.0,1394496000,"""Upgrade your phone and get a free case and screen protector."""
170,Misha Sangha,A24RBL3W5W6SAN,0594033926,5.0,1392422400,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
171,Kimaya Balakrishnan,A2RX85Y4S27N2J,0594033926,1.0,1397865600,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
172,Nehmat Bedi,A253JJFXQNPCOJ,0594033926,4.0,1387584000,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
173,Suhana Kamdar,AHYURLVH267MA,0594033926,5.0,1389225600,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
174,Amira Tella,A1FXYTO11KEJ2P,0594033926,4.0,1398297600,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
175,Amira Tella,A1FXYTO11KEJ2P,1400501784,4.0,1398297600,"""Buy one, get one 50% off."""
176,Diya Joshi,A2TKKYL3GKFS2M,0594033926,5.0,1388102400,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
177,Diya Joshi,A2TKKYL3GKFS2M,B0007Q9PWQ,5.0,1388102400,"""Buy one, get one 50% off."""
178,Diya Joshi,A2TKKYL3GKFS2M,B000IN3RUE,5.0,1386028800,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
179,Diya Joshi,A2TKKYL3GKFS2M,B000M8TLAK,2.0,1200009600,"""Last chance to grab items at clearance prices. Up to 70% off!"""
180,Diya Joshi,A2TKKYL3GKFS2M,B000OPB4U6,5.0,1388102400,"""Valentine's Day special: Buy a dozen roses, get a free box of chocolates."""
181,Diya Joshi,A2TKKYL3GKFS2M,B0048IW030,5.0,1349654400,"""Valentine's Day special: Buy a dozen roses, get a free box of chocolates."""
182,Diya Joshi,A2TKKYL3GKFS2M,B004CG6KGQ,5.0,1386028800,"""Hurry! 24-hour flash sale: Up to 40% off select items."""
183,Diya Joshi,A2TKKYL3GKFS2M,B004TJ6JH6,5.0,1388102400,"""Get 20% off on all orders this weekend!"""
184,Diya Joshi,A2TKKYL3GKFS2M,B00A2DBHMA,5.0,1388102400,"""Buy a laptop, mouse, and bag together and save 15%."""
185,Diya Joshi,A2TKKYL3GKFS2M,B00DVQPHC6,5.0,1388102400,"""Save $10 when you spend $50 or more."""
186,Vritika Dar,A3F069UFW04K1E,0594033926,5.0,1392249600,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
187,Madhup Madan,A3HQ8RXUMJ2Y58,0594033926,5.0,1400976000,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
188,Bhavin Saran,A2MNKBHPMBB0EA,0594033926,5.0,1390003200,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
189,Shaan Mani,A3HGTTFIDLCWDJ,0594033926,4.0,1396483200,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
190,Shaan Mani,A3HGTTFIDLCWDJ,B00022TN86,1.0,1344988800,"""Upgrade your phone and get a free case and screen protector."""
191,Shaan Mani,A3HGTTFIDLCWDJ,B0075Z2SMG,4.0,1345334400,"""Happy Birthday! Enjoy 25% off your purchase on your special day."""
192,Shaan Mani,A3HGTTFIDLCWDJ,B007F9XHAY,2.0,1364256000,"""Buy one, get one 50% off."""
193,Jivin Kale,AYM7NJTTX3M0L,0594033926,5.0,1393200000,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
194,Nitya Brahmbhatt,A2PL24SVISXZM9,0594033926,5.0,1392422400,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
195,Navya Gera,A3I1C8WM8DLSMM,0594033926,5.0,1395964800,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
196,Navya Gera,A3I1C8WM8DLSMM,B00AJHDZSI,5.0,1375488000,"""Welcome to our store! New customers get 15% off their first order."""
197,Abram Viswanathan,A29LNVZLBG0IYN,0594033926,5.0,1402876800,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
198,Abram Viswanathan,A29LNVZLBG0IYN,1400532655,5.0,1402876800,"""Take $20 off your next purchase."""
199,Ryan Choudhry,A2CP4GY6XAWIII,0594033926,5.0,1403568000,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
200,Ivana Chandran,A1UMFN4RKU451R,0594033934,5.0,1359244800,"""Exclusive offer for our loyal customers: 20% off your next visit."""
201,Ivana Chandran,A1UMFN4RKU451R,B000V0IE5M,5.0,1359244800,"""Take $20 off your next purchase."""
202,Ivana Chandran,A1UMFN4RKU451R,B002P35JMO,4.0,1359244800,"""Happy Birthday! Enjoy 25% off your purchase on your special day."""
203,Ivana Chandran,A1UMFN4RKU451R,B004FEEZHQ,5.0,1359244800,"""Free express shipping for a limited time."""
204,Ivana Chandran,A1UMFN4RKU451R,B005GI19HY,5.0,1362700800,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount."""
205,Ivana Chandran,A1UMFN4RKU451R,B008FF8360,5.0,1361923200,"""Happy Birthday! Enjoy 25% off your purchase on your special day."""
206,Dishani Barman,A3T3XKC7H5ACI1,0594033934,5.0,1401235200,"""Exclusive offer for our loyal customers: 20% off your next visit."""
207,Dishani Barman,A3T3XKC7H5ACI1,B005DOK8NW,5.0,1358121600,"""Take $20 off your next purchase."""
208,Dishani Barman,A3T3XKC7H5ACI1,B0063KGRBW,4.0,1328140800,"""Last chance to grab items at clearance prices. Up to 70% off!"""
209,Dishani Barman,A3T3XKC7H5ACI1,B0067WYZ56,3.0,1356739200,"""Take $20 off your next purchase."""
210,Elakshi Sinha,A1NQNJ3EAZ6CMZ,0594202442,4.0,1360108800,"""Hurry! 24-hour flash sale: Up to 40% off select items."""
211,Elakshi Sinha,A1NQNJ3EAZ6CMZ,B001TH7GSW,5.0,1360108800,"""Tag a friend and both of you get a 15% discount code."""
212,Elakshi Sinha,A1NQNJ3EAZ6CMZ,B0078GCLU6,4.0,1360108800,"""Tag a friend and both of you get a 15% discount code."""
213,Elakshi Sinha,A1NQNJ3EAZ6CMZ,B007KEZMX4,5.0,1360108800,"""Buy one, get one 50% off."""
